"Path","Type","SizeGB","Modified"
"D:\ملفاتي","Dir","36.29","7/23/2025 8:35:01 PM"
"D:\شيماء","Dir","19.83","6/22/2025 1:25:11 AM"
"D:\تليفون شيماء","Dir","15.52","10/16/2025 12:47:15 PM"
"D:\pagefile.sys","File","12.62","6/4/2025 9:15:16 PM"
"D:\برامج","Dir","9.74","6/6/2025 3:58:42 AM"
"D:\com.replay.Replay","Dir","5.16","10/30/2024 9:42:15 AM"
"D:\كل الملفات القديمه","Dir","1.89","8/14/2025 9:15:39 AM"
"D:\نسخه من ملفات الموقع 3-9","Dir","1.07","9/21/2025 9:32:08 PM"
"D:\com.replay.Replay - Copy","Dir","0.88","10/30/2024 9:42:15 AM"
"D:\OneDrive","Dir","0.69","10/30/2024 2:51:01 PM"
"D:\Docker Desktop Installer.exe","File","0.57","6/2/2025 4:05:26 AM"
"D:\Downloads","Dir","0.39","6/4/2025 12:19:25 AM"
"D:\Pi Network Setup 0.5.0.exe","File","0.14","6/2/2025 3:46:54 AM"
"D:\Radeon-Software-Adrenalin-2020-22.6.1-Win10-Win11-64Bit-LegacyASICs-June23-2022-LEGACY","Dir","0.1","10/14/2024 9:41:41 PM"
"D:\UrbanVPN.exe","File","0.03","4/13/2025 12:10:32 AM"
"D:\Program Files","Dir","0.02","10/21/2024 12:06:57 AM"
"D:\Fills","Dir","0.01","10/23/2024 12:46:40 AM"
"D:\download (1).jfif","File","0","5/19/2025 9:07:05 PM"
"D:\New Plain Text (11).txt","File","0","9/16/2025 1:14:35 PM"
"D:\$RECYCLE.BIN","Dir","0","6/5/2025 12:18:46 AM"
"D:\MediaID.bin","File","0","8/26/2025 1:47:50 PM"
"D:\a1c3d480-3d45-4a0a-aab6-2e65c87bfe6d.jfif","File","0","5/19/2025 9:04:48 PM"
"D:\a1c3d480-3d45-4a0a-aab6-2e65c87bfe6d - Copy.jfif","File","0","5/19/2025 9:04:48 PM"
"D:\DumpStack.log.tmp","File","0","6/4/2025 9:15:16 PM"
"D:\DESKTOP-I1AQ235","Dir","0","8/26/2025 1:48:25 PM"
"D:\DESKTOP-V7DTR03","Dir","0","10/15/2024 5:40:18 AM"
"D:\Gaser","Dir","0","6/6/2025 3:31:38 PM"
"D:\$RECYCLE.BIN - Copy","Dir","0","9/23/2025 5:40:22 PM"
"D:\Config.Msi","Dir","0","10/20/2024 9:57:52 AM"
"D:\DeliveryOptimization","Dir","0","10/15/2024 5:09:06 AM"
"D:\System Volume Information","Dir","0","10/12/2025 8:01:24 PM"
"D:\WindowsApps","Dir","0","6/6/2025 4:47:20 PM"
"D:\WindowsImageBackup","Dir","0","8/31/2025 7:08:00 PM"
"D:\GASSER","Dir","0","9/7/2025 8:12:54 PM"
"D:\MapData","Dir","0","10/16/2025 12:33:41 AM"
"D:\OneDriveTemp","Dir","0","10/21/2024 4:18:04 PM"
